Name,Category,Safety statement,Classification 1,Classification 2,Classification 3
paritaprevir / ritonavir / ombitasvir with ribavirin,X,"Although there are no pertinent human data, ribavirin has been found to be teratogenic and/or embryolethal in nearly all species in which it has been tested. Malformations of skull, palate, eye, jaw, skeleton and gastrointestinal tract were noted in animal studies. Survival of fetuses and offspring was reduced.",Antimicrobials,Antiviral agents,
paritaprevir/ritonavir/ombitasvir/dasabuvir,B3,,Antimicrobials,Antiviral agents,
paritaprevir/ritonavir/ombitasvir/dasabuvir/ribavirin ,X,"Although there are no pertinent human data, ribavirin has been found to be teratogenic and/or embryolethal in nearly all species in which it has been tested. Malformations of skull, palate, eye, jaw, skeleton and gastrointestinal tract were noted in animal studies. Survival of fetuses and offspring was reduced.",Antimicrobials,Antiviral agents,
paroxetine,D,Selective serotonin reuptake inhibitors (SSRIs) have had limited use in pregnancy without a reported increase in birth defects.  The use of SSRIs in the third trimester may result in a withdrawal state in the newborn infant.,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs)
pasireotide diaspartate,B3,,Endocrine System,Pituitary hormones,
pasireotide embonate,B3,,Endocrine System,Pituitary hormones,
patiromer (as sorbitex calcium),B1,,Cardiovascular System,,
patisiran,D,Patisiran administered to pregnant rabbits during the period of organogenesis resulted in embryofetal mortality and reduced fetal body weight at doses. ,Cardiovascular System,,
pazopanib,D,Angiogenesis plays a key role in embryo-fetal development. It is teratogenic in pregnant animals. VEGF receptor inhibitors inhibit angiogenesis and can cause fetal harm when administered to pregnant women.,Antineoplastic Agents,Tyrosine kinase inhibitors,
pegaspargase,D,"Cytotoxicity from asparaginase activity poses a risk for spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
pegcetacoplan,B3,,Allergy and Immune System,,
pegfilgrastim,B3,,Blood and Haemopoietic System,Haemopoietic agents,
peginterferon alfa-2a,B3,,Allergy and Immune System,Immunomodifiers,
peginterferon alfa-2b,B3,,Allergy and Immune System,Immunomodifiers,
peginterferon beta-1a (rch),D,"Peginterferon beta-1a has not been tested for reproductive toxicity in pregnant animals. Non-pegylated interferon beta-1a has shown no evidence of teratogenicity in pregnant animals, but has abortifacient activity in monkeys.",Allergy and Immune System,Immunomodifiers,
pegvaliase,D,"Animal studies have shown maternal reproductive toxicity that may have been associated with decreased blood phenylalanine concentrations below normal levels. Embryofetal lethality, lower fetal weights and multiple fetal malformations and/or variations were seen when administered to pregnant rabbits at maternotoxic doses. Maternal blood phenylalanine levels must be strictly controlled during pregnancy. ",Metabolism,,
pegvisomant,B3,,Endocrine System,Pituitary inhibitors,
pembrolizumab,D,"PD-1/PD-L1 is involved in fetomaternal tolerance. Administration during pregnancy may cause fetal harm, including abortion or stillbirth.",Antineoplastic Agents,Monoclonal antibodies,
pemetrexed,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
pemigatinib,D,"Based on its mechanism of action and data from animal studies, P pemigatinib can cause reproductive toxicity (post-implantation loss, malformations and reduced fetal weight) when administered during pregnancy.",Antineoplastic Agents,,
penciclovir,B1,,Drugs used in Dermatology,Topical antiviral,
penicillamine,D,Penicillamine can cause cutis laxa in the human fetus.,"Detoxifying Agents, Antidotes ",,
penicillamine,D,This drug can cause cutis laxa in the human fetus.,Musculoskeletal System,Antirheumatoid agents,
pentamidine,B3,,Antimicrobials,Antibiotics,
pentastarch,B3,,Cardiovascular System,,
pentazocine,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
pentobarbitone,C,"Barbiturates can give rise to hypotension, respiratory depression and hypothermia in the newborn infant. Continuous treatment during pregnancy and administration during labour should be avoided.",Central Nervous System,Hypnotics and sedatives,Barbiturates
pentosan polysulfate sodium,B1,,Genitourinary System,Bladder function disorders,
pentoxifylline,B1,,Cardiovascular System,,
peramivir,B3,,Antimicrobials,Antiviral agents,
perampanel hemisesquihydrate,B3,,Central Nervous System,Anticonvulsants/antiepileptics,
perflutren,B3,,Diagnostic Agents,Radiographic agents,
pergolide,C,Studies in rodents have shown no evidence of harm to the fetus. There are no adequate and well-controlled studies in pregnant women.  This drug should be used during pregnancy only if clearly needed.,Central Nervous System,Antiparkinson agents,
perhexiline,B2,,Cardiovascular System,Antiangina agents,
periciazine,C,"When given in high doses during late pregnancy, phenothiazines have caused prolonged neurological disturbances in the newborn infant.",Central Nervous System,Antipsychotic drugs,Phenothiazines
perindopril,D,"When taken during the second and third trimesters, ACE inhibitors cause a range of abnormalities including renal dysfunction and oligohydramnios. These can be associated with fetal death in utero. Although no adverse fetal effects have been linked to first trimester drug use of ACE inhibitors, the number of exposures reported is too small to determine conclusively that ACE inhibitors are safe in the first trimester.  Pregnant women who are taking ACE inhibitors should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure.  It is generally advisable not to use ACE inhibitors for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors
permethrin,B2,,Drugs used in Dermatology,Topical antiparasitics,
perphenazine,C,"When given in high doses during late pregnancy, phenothiazines have caused prolonged neurological disturbances in the newborn infant.",Central Nervous System,Antipsychotic drugs,Phenothiazines
pertuzumab,D,IgG antibodies are known to cross the placental barrier. This drug has the potential to affect embryofetal survival due to its pharmacological action.,Antineoplastic Agents,Monoclonal antibodies,
pethidine,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
phenelzine,B3,,Central Nervous System,Antidepressants,Monoamine oxidase inhibitors
phenindione,D,This drug can cause birth defects when used in the first trimester of pregnancy. Use of phenindione should also be avoided during the third trimester of pregnancy as delivery during phenindione therapy may lead to excessive bleeding in the infant or the mother. All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
pheniramine,A,,Allergy and Immune System,Antihistamines,
phenobarbital,D,"Refer to the relevant texts in the Product Information of individual antiepileptics  for more information regarding the suitability for use in pregnancy.

Phenobarbital therapy in pregnant women with epilepsy presents a risk to the fetus in terms of major and minor congenital defects including congenital craniofacial and cardiac defects digital abnormalities and less commonly cleft lip and palate.
 
Haemorrhage at birth and addiction are also at risk. Prophylactic treatment with vitamin K1 for the mother before delivery (as well as the neonate) is recommended and the neonate should be monitored for signs of bleeding.

Adverse effects on neurobehavioral development have also been reported. Studies investigating neurodevelopmental effects of prenatally administered phenobarbital were mostly small in numbers, however significant negative effects on neurodevelopment and IQ were found following in utero and postnatal exposure.

It is recommended that:
• women on antiepileptic drugs (AEDs) receive prepregnancy counselling with regard to the risk of congenital malformations and adverse developmental outcomes; 
• AEDs should be continued during pregnancy at the lowest effective dose and monotherapy should be considered if appropriate; 
• Adequate folic acid supplementation should be discussed as part of pre-pregnancy and pregnancy counselling; 
• specialist prenatal diagnosis including detailed mid-trimester ultrasound should be considered.",Central Nervous System,Anticonvulsants/antiepileptics,
phenobarbitone (phenobarbital),D,"Refer to the relevant texts in the Product Information of individual antiepileptics  for more information regarding the suitability for use in pregnancy.

Phenobarbital therapy in pregnant women with epilepsy presents a risk to the fetus in terms of major and minor congenital defects including congenital craniofacial and cardiac defects digital abnormalities and less commonly cleft lip and palate.
 
Haemorrhage at birth and addiction are also at risk. Prophylactic treatment with vitamin K1 for the mother before delivery (as well as the neonate) is recommended and the neonate should be monitored for signs of bleeding.

Adverse effects on neurobehavioral development have also been reported. Studies investigating neurodevelopmental effects of prenatally administered phenobarbital were mostly small in numbers, however significant negative effects on neurodevelopment and IQ were found following in utero and postnatal exposure.

It is recommended that:
• women on antiepileptic drugs (AEDs) receive prepregnancy counselling with regard to the risk of congenital malformations and adverse developmental outcomes; 
• AEDs should be continued during pregnancy at the lowest effective dose and monotherapy should be considered if appropriate; 
• Adequate folic acid supplementation should be discussed as part of pre-pregnancy and pregnancy counselling; 
• specialist prenatal diagnosis including detailed mid-trimester ultrasound should be considered.",Central Nervous System,Anticonvulsants/antiepileptics,
